updateDate,code,code_name
2020-06-29,sz.002019,亿帆医药
2020-06-29,sz.002028,思源电气
2020-06-29,sz.002030,达安基因
2020-06-29,sz.002038,双鹭药业
2020-06-29,sz.002048,宁波华翔
2020-06-29,sz.002051,中工国际
2020-06-29,sz.002056,横店东磁
2020-06-29,sz.002064,华峰氨纶
2020-06-29,sz.002074,国轩高科
2020-06-29,sz.002075,沙钢股份
2020-06-29,sz.002078,太阳纸业
2020-06-29,sz.002080,中材科技
2020-06-29,sz.002081,金螳螂
2020-06-29,sz.002085,万丰奥威
2020-06-29,sz.002092,中泰化学
2020-06-29,sz.002093,国脉科技
2020-06-29,sz.002110,三钢闽光
2020-06-29,sz.002118,紫鑫药业
2020-06-29,sz.002124,天邦股份
2020-06-29,sz.002127,南极电商
2020-06-29,sz.002128,露天煤业
2020-06-29,sz.002131,利欧股份
2020-06-29,sz.002138,顺络电子
2020-06-29,sz.002152,广电运通
2020-06-29,sz.002155,湖南黄金
2020-06-29,sz.002156,通富微电
2020-06-29,sz.002174,游族网络
2020-06-29,sz.002183,怡亚通
2020-06-29,sz.002185,华天科技
2020-06-29,sz.002191,劲嘉股份
2020-06-29,sz.002195,二三四五
2020-06-29,sz.002203,海亮股份
2020-06-29,sz.002212,南洋股份
2020-06-29,sz.002217,合力泰
2020-06-29,sz.002221,东华能源
2020-06-29,sz.002223,鱼跃医疗
2020-06-29,sz.002233,塔牌集团
2020-06-29,sz.002242,九阳股份
2020-06-29,sz.002244,滨江集团
2020-06-29,sz.002249,大洋电机
2020-06-29,sz.002250,联化科技
2020-06-29,sz.002266,浙富控股
2020-06-29,sz.002268,卫士通
2020-06-29,sz.002273,水晶光电
2020-06-29,sz.002281,光迅科技
2020-06-29,sz.002285,世联行
2020-06-29,sz.002294,信立泰
2020-06-29,sz.002302,西部建设
2020-06-29,sz.002317,众生药业
2020-06-29,sz.002340,格林美
2020-06-29,sz.002353,杰瑞股份
2020-06-29,sz.002368,太极股份
2020-06-29,sz.002372,伟星新材
2020-06-29,sz.002373,千方科技
2020-06-29,sz.002375,亚厦股份
